date,close,RSI14
2008-03-28,37.5131,
2008-03-31,36.9332,0.0
2008-04-01,37.9257,11.633767816954204
2008-04-02,38.3457,16.08289035634526
2008-04-03,38.5621,18.363572030527166
2008-04-04,38.5417,18.3130440094684
2008-04-07,38.7639,20.867102079604592
2008-04-08,39.0018,23.620628242509355
2008-04-09,38.2807,21.211353858722646
2008-04-10,38.2807,21.211353858722646
2008-04-11,37.6709,19.282418741464184
2008-04-14,37.8198,21.167569589460214
2008-04-15,37.9257,22.55294922107241
2008-04-16,38.4405,29.077837952616278
2008-04-17,38.958,35.00572386059832
2008-04-18,39.3855,39.504085474566665
2008-04-21,39.5658,41.34785833966525
2008-04-22,39.2061,38.80677823432403
2008-04-23,39.3047,39.89716717724487
2008-04-24,39.3176,40.04768279735567
2008-04-25,39.4756,41.964720996660894
2008-04-28,39.7981,45.77602392454643
2008-04-29,39.3409,41.60460348091277
2008-04-30,39.8725,47.58543189875884
2008-05-01,39.7525,46.429433913291156
2008-05-02,40.0016,49.18886240984408
2008-05-05,40.1149,50.439325797937705
2008-05-06,40.3816,53.34967136557063
2008-05-07,39.7099,46.01990564911712
2008-05-08,39.8427,47.55408942274564
2008-05-09,39.6698,45.731693917926656
2008-05-12,40.075,50.51760478283631
2008-05-13,40.1224,51.06131095084723
2008-05-14,40.2107,52.116823841261315
2008-05-15,40.6363,56.93778042343191
2008-05-16,40.9829,60.43167324200902
2008-05-19,40.968,60.2055256784657
2008-05-20,40.5629,54.26027782037466
2008-05-21,40.2839,50.55735547182284
2008-05-22,40.3455,51.34682428240115
2008-05-23,39.7172,43.68493292592892
2008-05-27,40.024,47.78237213499194
2008-05-28,40.0174,47.70196447167863
2008-05-29,40.2618,50.990850688535076
2008-05-30,40.217,50.36559317107238
2008-06-02,39.9096,46.181112307586694
2008-06-03,39.815,44.94360576997383
2008-06-04,39.4106,40.00805882700508
2008-06-05,40.2535,51.871688690527286
2008-06-06,39.1914,40.897040766289315
2008-06-09,38.9525,38.90324153725268
2008-06-10,38.5704,35.8895223121426
2008-06-11,38.1087,32.60296220263666
2008-06-12,38.1281,32.88109059894953
2008-06-13,38.3922,36.710132041769434
2008-06-16,38.6459,40.23719259465029
2008-06-17,38.6374,40.15644731345485
2008-06-18,38.3615,37.52424707266896
2008-06-19,37.8521,33.19750497300085
2008-06-20,37.5809,31.138923566048675
2008-06-23,37.7082,33.23185646205438
2008-06-24,37.3357,30.327190271734693
2008-06-25,37.7388,36.768124901719794
2008-06-26,36.7966,29.827255847180936
2008-06-27,36.8635,30.82577040512406
2008-06-30,37.0084,33.04793819222682
2008-07-01,36.7222,30.934172034238117
2008-07-02,36.1424,27.14613787850527
2008-07-03,35.9946,26.26325155433787
2008-07-07,36.1348,28.634321687539824
2008-07-08,36.03,27.911807578646304
2008-07-09,35.9501,27.345291590073217
2008-07-10,35.8292,26.469825181836967
2008-07-11,35.569,24.64135772032182
2008-07-14,35.425,23.666998218818165
2008-07-15,35.057,21.34423377207905
2008-07-16,35.397,28.34175083805053
2008-07-17,35.8682,36.74110766203494
2008-07-18,35.8979,37.24044671503688
2008-07-21,36.055,39.94102210803396
2008-07-22,36.0374,39.734736955312684
2008-07-23,36.5252,47.78416199484748
2008-07-24,35.7522,38.914091341919004
2008-07-25,35.7448,38.839762634346414
2008-07-28,35.3209,34.74559331328486
2008-07-29,35.7195,41.03935140229439
2008-07-30,35.9267,44.0597333972115
2008-07-31,35.8376,43.03871962655389
2008-08-01,35.4185,38.517342898056526
2008-08-04,35.057,35.092785010777234
2008-08-05,35.6286,43.627415792157876
2008-08-06,36.03,48.72609820441302
2008-08-07,35.3405,41.74207550256949
